WeekNo,Agency,Median
1,EMS,221
2,EMS,228
3,EMS,210
4,EMS,217
5,EMS,227
6,EMS,211.5
7,EMS,216
8,EMS,217
9,EMS,217
10,EMS,206.5
11,EMS,216
12,EMS,216
13,EMS,249
14,EMS,263.5
15,EMS,309
16,EMS,278
17,EMS,272
18,EMS,290
19,EMS,287
20,EMS,278
21,EMS,252
22,EMS,253
23,EMS,255
24,EMS,232.5
25,EMS,273
26,EMS,237
27,EMS,252.5
28,EMS,258.5
29,EMS,261
30,EMS,262
31,EMS,250
32,EMS,247
33,EMS,237
34,EMS,239
35,EMS,234.5
36,EMS,254
37,EMS,261
38,EMS,234
39,EMS,236
40,EMS,285
41,EMS,263
42,EMS,255
43,EMS,248.5
44,EMS,266.5
45,EMS,274
46,EMS,277.5
47,EMS,286
48,EMS,294.5
49,EMS,246
50,EMS,251
51,EMS,256.5
52,EMS,243
53,EMS,255.5
1,FIRE,134
2,FIRE,99.5
3,FIRE,91
4,FIRE,119
5,FIRE,95.5
6,FIRE,99
7,FIRE,128
8,FIRE,92
9,FIRE,89
10,FIRE,110
11,FIRE,115
12,FIRE,102
13,FIRE,114
14,FIRE,123
15,FIRE,150
16,FIRE,140
17,FIRE,118.5
18,FIRE,132.5
19,FIRE,135
20,FIRE,128.5
21,FIRE,113
22,FIRE,114
23,FIRE,131.5
24,FIRE,103
25,FIRE,113
26,FIRE,112
27,FIRE,130
28,FIRE,123
29,FIRE,127
30,FIRE,139
31,FIRE,123
32,FIRE,129.5
33,FIRE,130
34,FIRE,142
35,FIRE,140
36,FIRE,141
37,FIRE,151
38,FIRE,130
39,FIRE,130
40,FIRE,155
41,FIRE,123.5
42,FIRE,137
43,FIRE,110.5
44,FIRE,125.5
45,FIRE,112
46,FIRE,140
47,FIRE,147
48,FIRE,146
49,FIRE,117
50,FIRE,153.5
51,FIRE,101
52,FIRE,125
53,FIRE,147
1,POLICE,129
2,POLICE,109
3,POLICE,97
4,POLICE,102
5,POLICE,97
6,POLICE,99
7,POLICE,104
8,POLICE,94
9,POLICE,97
10,POLICE,89
11,POLICE,107
12,POLICE,121
13,POLICE,126
14,POLICE,147
15,POLICE,170
16,POLICE,179
17,POLICE,181
18,POLICE,165.5
19,POLICE,149
20,POLICE,145
21,POLICE,149
22,POLICE,142
23,POLICE,149
24,POLICE,139.5
25,POLICE,155.5
26,POLICE,156
27,POLICE,151
28,POLICE,151
29,POLICE,164
30,POLICE,150
31,POLICE,165
32,POLICE,154
33,POLICE,159
34,POLICE,152
35,POLICE,149
36,POLICE,157
37,POLICE,143
38,POLICE,154
39,POLICE,153
40,POLICE,169
41,POLICE,145
42,POLICE,160
43,POLICE,158
44,POLICE,174
45,POLICE,167
46,POLICE,169
47,POLICE,147
48,POLICE,160
49,POLICE,157
50,POLICE,150
51,POLICE,150
52,POLICE,150.5
53,POLICE,156
