WeekNo,Agency,Median
1,EMS,1
2,EMS,1
3,EMS,1
4,EMS,2
5,EMS,1
6,EMS,2
7,EMS,2
8,EMS,2
9,EMS,1
10,EMS,1
11,EMS,2
12,EMS,1
13,EMS,2
14,EMS,2
15,EMS,2
16,EMS,2
17,EMS,2
18,EMS,2
19,EMS,2
20,EMS,2
21,EMS,2
22,EMS,2
23,EMS,2
24,EMS,2
25,EMS,2
26,EMS,2
27,EMS,1
28,EMS,1
29,EMS,2
30,EMS,2
31,EMS,3
32,EMS,4
33,EMS,3
34,EMS,3
35,EMS,3
36,EMS,3
37,EMS,3
38,EMS,2
39,EMS,2
40,EMS,3
41,EMS,3
42,EMS,3
43,EMS,3
44,EMS,2.5
45,EMS,3
46,EMS,3
47,EMS,3
48,EMS,3
49,EMS,2
50,EMS,3
51,EMS,3
52,EMS,3
53,EMS,3
1,FIRE,1
2,FIRE,1
3,FIRE,1
4,FIRE,1
5,FIRE,1.5
6,FIRE,2
7,FIRE,1
8,FIRE,2
9,FIRE,1
10,FIRE,2
11,FIRE,1
12,FIRE,1
13,FIRE,1
14,FIRE,1
15,FIRE,1
16,FIRE,2
17,FIRE,1
18,FIRE,1.5
19,FIRE,2
20,FIRE,2
21,FIRE,1
22,FIRE,1
23,FIRE,1
24,FIRE,1
25,FIRE,1
26,FIRE,1
27,FIRE,1
28,FIRE,1
29,FIRE,2
30,FIRE,3
31,FIRE,2
32,FIRE,3
33,FIRE,3
34,FIRE,3
35,FIRE,3
36,FIRE,2
37,FIRE,2
38,FIRE,2
39,FIRE,2
40,FIRE,2
41,FIRE,2
42,FIRE,2
43,FIRE,2
44,FIRE,2
45,FIRE,2
46,FIRE,2
47,FIRE,3
48,FIRE,2
49,FIRE,3
50,FIRE,3
51,FIRE,2
52,FIRE,2
53,FIRE,2
1,POLICE,97
2,POLICE,82
3,POLICE,67
4,POLICE,70
5,POLICE,58
6,POLICE,84
7,POLICE,102.5
8,POLICE,68
9,POLICE,82
10,POLICE,80
11,POLICE,90
12,POLICE,131
13,POLICE,107
14,POLICE,90
15,POLICE,151
16,POLICE,120
17,POLICE,118.5
18,POLICE,123.5
19,POLICE,92
20,POLICE,111
21,POLICE,87
22,POLICE,88
23,POLICE,105
24,POLICE,104
25,POLICE,85.5
26,POLICE,112
27,POLICE,119
28,POLICE,140
29,POLICE,129.5
30,POLICE,125
31,POLICE,147.5
32,POLICE,118
33,POLICE,101
34,POLICE,129
35,POLICE,100
36,POLICE,137.5
37,POLICE,101
38,POLICE,124.5
39,POLICE,169
40,POLICE,180
41,POLICE,151
42,POLICE,114
43,POLICE,178
44,POLICE,156
45,POLICE,134
46,POLICE,135
47,POLICE,122
48,POLICE,105
49,POLICE,126
50,POLICE,109
51,POLICE,99
52,POLICE,129.5
53,POLICE,99
