Response_Date,Month,WeekNo,DOW,Hour,Shift,Priority_Number,Problem,Agency,MethodOfCallRcvd,T2Q,T2Disp,ProcTime
2020-01-01 00:02:44.000,January,1,Wed,0,NIGHT,4,NOISE COMPLAINT DELAY,POLICE,,32,3683,42
2020-01-01 00:10:12.000,January,1,Wed,0,NIGHT,1,TROUBLE BREATHING ALS 2,EMS,Radio,48,3,85
2020-01-01 00:13:32.000,January,1,Wed,0,NIGHT,2,DISORDERLY CONDUCT,POLICE,Phone,207,24,213
2020-01-01 00:28:59.000,January,1,Wed,0,NIGHT,2,DOMESTIC VIOL NO INJ,POLICE,E-911,52,533,66
2020-01-01 00:32:52.000,January,1,Wed,0,NIGHT,1,UNCONSCIOUS ALS 2,EMS,Radio,53,3,100
2020-01-01 00:40:52.000,January,1,Wed,0,NIGHT,1,CARDIAC ARREST ALS 2- SUPV,EMS,Phone,45,3,218
2020-01-01 00:42:21.000,January,1,Wed,0,NIGHT,3,ASSIST FIRE - PROMPT,POLICE,Phone,0,64,0
2020-01-01 00:44:54.000,January,1,Wed,0,NIGHT,4,NOISE COMPLAINT DELAY,POLICE,,63,2171,70
2020-01-01 01:02:31.000,January,1,Wed,1,NIGHT,2,SUSPICIOUS EVENT,POLICE,Phone,242,38,242
2020-01-01 01:06:14.000,January,1,Wed,1,NIGHT,2,DISORDERLY CONDUCT,POLICE,Phone,133,539,258
2020-01-01 01:09:07.000,January,1,Wed,1,NIGHT,1,MVC CITY PROPERTY DAMAGE,POLICE,Radio,23,10,29
2020-01-01 01:10:06.000,January,1,Wed,1,NIGHT,2,MVC AUTO,FIRE,Phone,0,2,0
2020-01-01 01:10:07.000,January,1,Wed,1,NIGHT,4,POLICE INFORMATION,POLICE,,20,96,900
2020-01-01 01:19:59.000,January,1,Wed,1,NIGHT,3,SICK PERSON BLS,EMS,Phone,270,1,305
2020-01-01 01:24:45.000,January,1,Wed,1,NIGHT,2,ASSIST FIRE - IMMEDIATE,POLICE,Phone,0,258,0
2020-01-01 01:25:47.000,January,1,Wed,1,NIGHT,2,TRAFFIC STOP,POLICE,NULL,0,0,0
2020-01-01 01:26:23.000,January,1,Wed,1,NIGHT,1,MVC INJURY,POLICE,Radio,24,99,63
2020-01-01 01:27:10.000,January,1,Wed,1,NIGHT,4,NOISE COMPLAINT DELAY,POLICE,,86,7994,137
2020-01-01 01:27:20.000,January,1,Wed,1,NIGHT,1,MVC AUTO,FIRE,Radio,0,2,0
2020-01-01 01:32:28.000,January,1,Wed,1,NIGHT,4,NOISE COMPLAINT LOUD PARTY,POLICE,Phone,155,6435,195
2020-01-01 01:40:59.000,January,1,Wed,1,NIGHT,4,POLICE INFORMATION,POLICE,E-911,66,35,307
2020-01-01 01:42:09.000,January,1,Wed,1,NIGHT,2,ASSAULT MINOR INJ IN PROG,POLICE,Phone,102,36,264
2020-01-01 01:43:52.000,January,1,Wed,1,NIGHT,3,ASSAULT ALS 1,EMS,Phone,0,1,0
2020-01-01 01:46:16.000,January,1,Wed,1,NIGHT,2,ON VIEW,POLICE,,76,3,81
2020-01-01 01:51:42.000,January,1,Wed,1,NIGHT,4,NOISE COMPLAINT DELAY,POLICE,Phone,80,5603,80
2020-01-01 02:01:26.000,January,1,Wed,2,NIGHT,2,DOMESTIC VIOL NO INJ,POLICE,,154,3618,209
2020-01-01 02:05:26.000,January,1,Wed,2,NIGHT,2,ASSAULT NO INJURY IN PROG,POLICE,E-911,93,49,98
2020-01-01 02:13:00.000,January,1,Wed,2,NIGHT,4,DRUG COMPLAINT IN PROG,POLICE,Phone,64,8667,64
2020-01-01 02:16:26.000,January,1,Wed,2,NIGHT,2,MENTAL HEALTH CASE,POLICE,Phone,133,309,275
2020-01-01 02:23:21.000,January,1,Wed,2,NIGHT,2,MISSING PERSON IMMEDIATE,POLICE,Phone,310,3020,326
2020-01-01 02:26:23.000,January,1,Wed,2,NIGHT,2,DIP - DRUNK/INTOX PERSON,POLICE,Phone,51,2308,130
2020-01-01 02:36:04.000,January,1,Wed,2,NIGHT,1,TROUBLE BREATHING ALS 2,EMS,E-911,79,2,883
2020-01-01 02:40:41.000,January,1,Wed,2,NIGHT,2,BURGLARY RESIDENTIAL IN PROG,POLICE,Phone,93,146,427
2020-01-01 02:44:10.000,January,1,Wed,2,NIGHT,4,DISORDERLY CONDUCT,POLICE,Phone,386,3012,386
2020-01-01 02:52:04.000,January,1,Wed,2,NIGHT,2,DOMESTIC VIOL NO INJ,POLICE,E-911,125,32,144
2020-01-01 02:57:53.000,January,1,Wed,2,NIGHT,3,HEADACHE BLS,EMS,E-911,58,0,233
