"","med_q_y_wk"
"2019.1",71
"2020.1",74.5
"2019.2",71
"2020.2",73
"2019.3",70
"2020.3",67
"2019.4",66
"2020.4",69
"2019.5",63
"2020.5",68
"2019.6",65
"2020.6",70
"2019.7",66
"2020.7",73
"2019.8",72
"2020.8",68
"2019.9",65.5
"2020.9",68
"2019.10",63
"2020.10",67
"2019.11",66
"2020.11",75
"2019.12",67
"2020.12",80
"2019.13",76
"2020.13",81
"2019.14",69
"2020.14",85
"2019.15",67
"2020.15",97
"2019.16",69
"2020.16",104
"2019.17",64
"2020.17",102
"2019.18",69
"2020.18",99
"2019.19",65
"2020.19",99
"2019.20",70
"2020.20",94
"2019.21",68
"2020.21",94
"2019.22",65
"2020.22",92
"2019.23",62
"2020.23",95
"2019.24",70
"2020.24",89
"2019.25",66
"2020.25",91
"2019.26",69
"2020.26",97
"2019.27",66
"2020.27",90
"2019.28",63
"2020.28",100
"2019.29",64
"2020.29",101
"2019.30",69
"2020.30",95
"2019.31",65
"2020.31",97
"2019.32",64
"2020.32",89.5
"2019.33",61.5
"2020.33",95
"2019.34",67
"2020.34",89
"2019.35",66
"2020.35",89.5
"2019.36",69
"2020.36",93
"2019.37",67
"2020.37",86
"2019.38",72
"2020.38",93
"2019.39",70
"2020.39",97
"2019.40",75
"2020.40",93
"2019.41",73
"2020.41",90
"2019.42",71
"2020.42",92
"2019.43",70
"2020.43",87
"2019.44",74
"2020.44",98
"2019.45",69
"2020.45",92
"2019.46",64
"2020.46",94
"2019.47",62
"2020.47",91
"2019.48",70
"2020.48",91
"2019.49",69
"2020.49",86
"2019.50",71
"2020.50",85
"2019.51",70
"2020.51",86
"2019.52",73
"2020.52",89
"2019.53",72
"2020.53",94
